id,stim,response,flexibility_1,flexibility_2
1460,Cup,two string communication thing,1,1
1503,Cup,contain a liquid,1,1
1503,Cup,make a song,4,4
1503,Cup,use as an amplifier,1,1
1603,Cup,drink,1,1
1603,Cup,pour,1,1
1603,Cup,hat,3,3
1603,Cup,stencil,4,4
1328,Cup,to drink out of,1,1
1328,Cup,to scoop water,1,1
1328,Cup,to bathe a baby,1,1
1328,Cup,to use in self defense,2,2
1328,Cup,to heat milk up in the microwave,1,1
1328,Cup,to eat food out of,1,1
1472,Cup,to drink,1,1
1472,Cup,to pour,1,1
1472,Cup,to scoop,1,1
1472,Cup,to splash,1,1
1472,Cup,to break,1,1
1472,Cup,to weapon,2,2
1472,Cup,to reflect,1,1
1614,Cup,drinking,1,1
1614,Cup,mixing paint,4,4
1614,Cup,baking a cupcake,4,4
1614,Cup,storing utensils,1,1
1614,Cup,making music with it,4,4
1320,Cup,shoe,3,3
1320,Cup,spoon,1,1
1320,Cup,beverage holder,1,1
1320,Cup,pencil case,1,1
1320,Cup,vase,3,3
1320,Cup,cupping,1,1
1320,Cup,art,4,4
1463,Cup,holding liquid,1,1
1463,Cup,holding solid,1,1
1463,Cup,heating,1,1
1463,Cup,cooling,1,1
1463,Cup,drinking,1,1
1463,Cup,eating,1,1
1463,Cup,breaking,1,1
1463,Cup,throwing/tossing,4,4
1463,Cup,storage,1,1
1442,Cup,drink out of,1,1
1442,Cup,measure liquids,1,1
1442,Cup,store items,1,1
1442,Cup,draw on,4,4
1442,Cup,scoop sand with to make a sand castle,4,4
1442,Cup,microwave with a liquid inside,1,1
1442,Cup,wash,1,1
1442,Cup,spit in,4,4
1442,Cup,use as an outline for a circle,1,1
1413,Cup,hold liquids,1,1
1413,Cup,hold household items toothbrush,1,1
1413,Cup,stack cups,4,4
1413,Cup,throw at something,1,1
1507,Cup,holding things,1,1
1563,Cup,to drink something,1,1
1563,Cup,to pour liquid from one place to another,1,1
1563,Cup,to stack and make a pyramid,4,4
1563,Cup,to make food in the microwave,1,1
1622,Cup,drink,1,1
1622,Cup,pencil holder,1,1
1622,Cup,glasses,3,3
1622,Cup,cup stacking game,4,4
1622,Cup,magic trick,4,4
1622,Cup,high heels,3,3
1547,Cup,drinking,1,1
1547,Cup,heating up something,1,1
1547,Cup,trapping something like an insect/bug,1,1
1547,Cup,amplifies sound when you put your phone in it,1,1
1547,Cup,scoop,1,1
1547,Cup,mixer,1,1
1514,Cup,drinking,1,1
1514,Cup,hat,3,3
1514,Cup,pen holder,1,1
1514,Cup,stacking,1,1
1514,Cup,cleaning paint brushes,1,1
1514,Cup,hide something under it,1,1
1514,Cup,decoration,3,3
1528,Cup,to hold things,1,1
1528,Cup,to drink from,1,1
1528,Cup,to play games,4,4
1528,Cup,used in baseball for protection,1,1
1551,Cup,to hold a liquid,1,1
1551,Cup,to trap a bug,1,1
1551,Cup,to drink from,1,1
1366,Cup,drinking,1,1
1366,Cup,holding liquid,1,1
1366,Cup,pouring,1,1
1366,Cup,pencil holder,1,1
1366,Cup,throwing as a weapon,2,2
1366,Cup,shovel,1,1
1511,Cup,holding a liquid,1,1
1511,Cup,trapping a spider,1,1
1511,Cup,softening a stick of butter by microwave it first,1,1
1511,Cup,stacking,4,4
1599,Cup,To drink out of,1,1
1599,Cup,to eat out of,1,1
1599,Cup,to decorate,3,3
1599,Cup,to collect,4,4
1599,Cup,to break,1,1
1531,Cup,for drinking liquids,1,1
1531,Cup,for eating,1,1
1531,Cup,for serving liquids,1,1
1531,Cup,for hidings things,1,1
1531,Cup,stacking,4,4
1531,Cup,for painting,4,4
1382,Cup,drink out of,1,1
1382,Cup,stacking game,4,4
1382,Cup,build a tower,4,4
1382,Cup,pong,4,4
1382,Cup,hold things,1,1
1382,Cup,sand castle mold,4,4
1382,Cup,ice tray,1,1
1382,Cup,pencil holder,1,1
1382,Cup,decoration,3,3
1417,Cup,drinking,1,1
1417,Cup,weapon,2,2
1417,Cup,decor,3,3
1417,Cup,hold things,1,1
1417,Cup,place phone against to prop it up,1,1
1417,Cup,transfer liquid to something else,1,1
1417,Cup,to trap a bug,1,1
1453,Cup,to hold things,1,1
1453,Cup,to pour things,1,1
1453,Cup,to cover,1,1
1440,Cup,mug for coffee,1,1
1440,Cup,wine glass,1,1
1440,Cup,champagne glass,1,1
1440,Cup,drinking,1,1
1440,Cup,use to hold things like pencils,1,1
1506,Cup,drink,1,1
1506,Cup,hold pens,1,1
1506,Cup,hold snacks,1,1
1497,Cup,drink liquids from,1,1
1497,Cup,make a cup pyramid,4,4
1458,Cup,speaker,4,4
1458,Cup,fill with water,1,1
1458,Cup,measuring cup,1,1
1458,Cup,bail water out of boat,1,1
1458,Cup,bowl,1,1
1330,Cup,hold food/liquids,1,1
1330,Cup,mold for sand or concrete,1,1
1330,Cup,use the top for cookie cutters,1,1
1330,Cup,stencil,4,4
1513,Cup,drink out of,1,1
1513,Cup,pour things in to,1,1
1513,Cup,store candy,1,1
1513,Cup,magic tricks,4,4
1559,Cup,hold a drink,1,1
1559,Cup,place flowers,3,3
1559,Cup,make a sand castle,4,4
1559,Cup,use as a hat,3,3
1559,Cup,throw at something,1,1
1559,Cup,upside down to put something on top,1,1
1559,Cup,prop phone up,1,1
1559,Cup,to scoop measurements,1,1
1425,Cup,hold drink,1,1
1425,Cup,trap a bug inside it,1,1
1449,Cup,hold water,1,1
1449,Cup,stack,4,4
1449,Cup,make beats out of it,4,4
1449,Cup,stand on for height,1,1
1449,Cup,hear water sounds from ear,4,4
1347,Cup,To drink out of,1,1
1347,Cup,to trap a fly,1,1
1347,Cup,to use for the cup song,4,4
1347,Cup,to use as a target for ping pong balls or other small objects,4,4
1347,Cup,to crush,1,1
1347,Cup,to flip,4,4
1347,Cup,to spin around,4,4
1347,Cup,to flip coins into,4,4
1347,Cup,to use as a makeshift music instrument,4,4
1518,Cup,hold liquid,1,1
1518,Cup,squish a bug,2,2
1518,Cup,hold something up,1,1
1610,Cup,use it to hold pens,1,1
1610,Cup,drink from it,1,1
1610,Cup,cover a bug to take it outside without killing it,1,1
1610,Cup,throw ping pong balls into it,4,4
1407,Cup,used to play a game,4,4
1407,Cup,used to hold something in place,1,1
